(0, 2, 2, 0)
(0, 6, 2, 4)
(0, 9, 2, 7)
(0, 12, 2, 10)
(0, 15, 2, 13)
(0, 18, 2, 16)
(0, 21, 2, 19)
(0, 26, 2, 24)
(0, 29, 2, 27)
(0, 32, 2, 30)
(0, 35, 2, 33)
(0, 38, 2, 36)
(0, 41, 2, 39)
(0, 43, 2, 42)
(4, 2, 6, 0)
(4, 6, 6, 3)
(4, 9, 6, 7)
(4, 12, 6, 10)
(4, 15, 6, 13)
(4, 21, 6, 19)
(4, 24, 6, 22)
(4, 29, 6, 27)
(4, 32, 6, 30)
(4, 37, 6, 35)
(4, 41, 6, 38)
(4, 44, 6, 42)
(8, 2, 11, 0)
(8, 6, 11, 3)
(9, 12, 11, 10)
(8, 16, 11, 13)
(8, 19, 11, 17)
(9, 22, 11, 20)
(8, 26, 11, 23)
(9, 29, 11, 27)
(8, 32, 11, 30)
(8, 34, 11, 33)
(13, 2, 16, 0)
(13, 6, 16, 3)
(13, 9, 16, 7)
(13, 11, 16, 10)
(13, 15, 16, 13)
(13, 18, 16, 16)
(13, 21, 16, 19)
(13, 24, 16, 22)
(13, 27, 16, 25)
(13, 30, 16, 28)
(13, 33, 16, 31)
(13, 36, 16, 34)
(13, 41, 16, 40)
(13, 44, 16, 42)
(13, 50, 16, 48)
(13, 53, 16, 51)
(13, 56, 16, 54)
(23, 2, 26, 0)
(23, 6, 26, 3)
(23, 9, 26, 7)
(23, 12, 26, 10)
(23, 15, 26, 13)
(23, 17, 26, 16)
(23, 21, 26, 19)
(23, 24, 26, 22)
(23, 29, 26, 27)
(23, 32, 26, 30)
(23, 35, 26, 33)
(23, 37, 26, 36)
(23, 41, 26, 39)
(23, 44, 26, 42)
(28, 2, 31, 0)
(28, 6, 31, 3)
(28, 8, 31, 7)
(29, 12, 31, 10)
(28, 16, 31, 13)
(28, 19, 31, 17)
(29, 22, 31, 20)
(28, 26, 31, 23)
(29, 29, 31, 27)
(28, 32, 31, 30)
(28, 34, 31, 33)
(28, 39, 31, 37)
(29, 42, 31, 40)
(28, 46, 31, 43)
(28, 52, 31, 50)
(28, 54, 31, 53)
(28, 56, 31, 55)
(33, 2, 36, 0)
(33, 6, 36, 3)
(33, 9, 36, 7)
(33, 15, 36, 13)
(33, 17, 36, 16)
(33, 21, 36, 19)
(33, 24, 36, 22)
(33, 29, 36, 25)
(33, 32, 36, 30)
(33, 35, 36, 33)
(33, 37, 36, 36)
(33, 41, 36, 38)
(33, 44, 36, 42)
(33, 46, 36, 45)
